inventor_first_name,inventor_last_name,inventor_id
Ralph E.,Helbert,5080550-1
Kendra J.,Gallup,6510262-1
Ethan,Lin,9179409-3
Alan K.,Shoemaker,4195669-3
Melvin E.,Kelly,6164727-1
David,Heady,8624601-6
William,Griffin,4112606-1
Steve,Cheung,6646776-1
Reza,Badri,9056738-8
Russell D.,Presgraves,D675031-1
Nathaniel Keith,Folkert,7177855-5
Douglas K.,Beplate,5221277-1
Alex,Coules,9914468-2
Ralph,Scallion,4790320-2
Ann Marie,O'Meara,6195696-5
Stephen A.,Kingman,4060145-1
Doug,Shepherd,8595959-1
Walter F.,Parrish,5018955-2
John P.,Ossenfort,7253941-3
Larry V.,Young,5443877-2
Zdenek,Mestenhauser,8453522-4
Edward W.,Kamen,7171897-4
Jean C.,Childers,4406812-1
David,Vidmar,8573480-2
J. Richard,Ingram,4381569-1
Mark,Hatzilambrou,6534374-5
Nicholas E.,Mullinax,8770348-2
Michael J.,Friez,7998744-4
Paul A.,"Lomolino, Jr.",5427174-1
Joshua,Snow,10117654-2
Alexander,Shukh,6477007-1
William R.,Dougherty,7078464-4
Mark D.,Heipel,5641655-2
Jason A.,Thompson,9380891-5
James E.,Koeller,5415420-1
Matthew,Waki,5822872-1
Hyung S.,Woo,9174206-6
John,Bartko,3933527-2
Lewis R.,"Newby, Jr.",9454306-1
Joel,Stocke,D798989-1
Scott M.,Eifler,7516694-1
Joseph Devasia,Ponmankal,5830952-2
Jacob Ariel,Knobel,9283477-3
John G.,Brome,4682288-2
Wes J.,Higgins,6484465-1
Stephen P.,Doan,6871486-2
Roy David,Brookshire,6276665-4
Serge,Shats,6209058-1
Bruce E.,Bothwell,4059712-1
Sune,Backman,4664814-1
Tina P.,Srivastava,9473201-2
Roger W.,Leinen,4168332-1
Melitta G.,Andersen,7890320-1
Man,Cheng,10053676-1
Steven M.,Macsay,7716840-4
Scott R.,Olson,5443094-1
David,Hanuschak,8930383-7
Thomas C.,Meier,D550202-1
Sumner S.,Kestenman,4676076-1
Mike,Barbour,8201909-1
Sergey V.,Zaitsev,9261408-1
Gary J.,Zeitler,5782314-1
Lois,Johnson,8802304-5
Derrick,O'Kelley,10058825-4
Clarence I.,Mitchell,4181145-1
Theodore A.,Fellion,D344388-1
Jerry Michael,Mahl,7097689-2
Timothy B.,Chiprich,5614217-1
William F.,Friedman,6097812-1
Raymond,Mt. Joy,7175716-2
Pradeep Ayyappan,Nair,10135907-8
Gail A.,Scaturro,D655061-1
John W.,McCoy,4216854-1
Steven Clifford,Gottwals,9356935-2
Joseph A.,O'Brien,5445638-2
Chang-Ju,Kim,7845257-1
Rahul,Kakkar,9475773-3
Saroni,Brahma,9847633-3
Jiang,Chen,D611831-5
Hisham S.,Mohamed,8900538-4
Damaris Dixie-Rose,Gore,8970558-1
Rex,Lieurance,8510223-2
Erika,Berkland,D709302-1
Donald P.,"Zereski, Jr.",5654886-1
Kevin Wayne,Kinzie,6092621-1
William K,Letson,6845516-2
Katherine,Stankus,8674837-4
Jason A.,McLennan,8930170-1
Conrad R.,Becker,4170443-1
James,Offen,5962086-1
Aaron C.,Thompson,7979439-2
James M.,Wallin,6109598-6
Lee R.,Ware,D669542-1
Tara L.,Gabler,D323045-1
John E.,Gunderman,6854210-1
Kimberly M.,Bleck,6576810-7
Lawrence M.,Ammann,4975869-1
Kelly,Jones,7416228-3
Octavio,Diaz,4776761-1
Henry,Nita,10004520-1
Ming,Cai,6580851-2
Michael Edward,Galat,8671804-1
Kelly J.,Branch,7581733-1
Richard D.,Woolley,5914708-3
Debasish,Banerjee,10048415-1
William Patrick,Tunney,7031520-1
Durand R.,Van Arnem,8229761-4
C J,Phillips,9956128-1
Jay W.,Bytheway,3991510-1
Charles E.,Kane,5092087-1
Ralph Gerard,Cory,7273993-2
William P.,Nelson,D343373-1
Lov K.,Grover,6317766-1
Dusan,Pittner,5489122-1
Conrad H.,Haber,4224679-2
Bryon L.,Sadler,4645904-2
Scott R.,Gardner,5505517-2
David A.,Provencio,D336043-1
David,Jedrlinic,8156212-3
Rashed S.,Rabaa,9417270-3
Ramon,Marquez,D426111-1
Lisa Crisafulli,Picciolo,7221088-2
Edward A.,Haluska,4821723-5
Myrland J.,Dahl,3971303-1
Aram,Arzumanyan,6653740-2
Norris H.,Barbre,4049762-2
Michael,Weinzettel,4353124-1
Jeff,Iannone,7853006-4
Karl T.,Kuszaj,4844944-2
James J.,Lynch,5506080-4
Jorel,Lalicki,10024615-2
Stephanie,Intelisano,D786684-2
Russell B.,Riley,4943764-2
Kenneth,Mahaffey,D418309-3
John Andrew,Hiltebeitel,4287571-2
Jack,Brett,4283653-1
Dorothy J.,Kennair,4289666-2
Albert,DeChard,5738139-1
Kshitij,Dayal,8392317-1
Vincent Paul,Smith,9558629-10
Dharma Rao,Polisetti,10030011-2
Brian C.,Sedgwick,4982907-1
Dean A.,Klein,5792478-2
Paul J.,Dounn,4914725-2
Janet,Yancey-Wrona,8748448-3
Herb. S.,Madan,4868818-1
Mohammed A.,Malik,D389858-3
Thomas J.,Barbieri,10022172-7
Ladislau,Biro,5133730-1
Allan,Foreman,6997863-4
Timothy R.,Robinson,6100952-2
Douglas W.,"Taylor, Jr.",5328191-1
Thomas J.,"Black, Jr.",4282777-2
Phillip M.,Finsterwald,4802458-1
Angela,Siragusa,4940454-1
John V.,Manfroy,7506792-1
Bing,Gong,6495680-1
Jim Jianxun,Li,10059403-3
Hubert Q.,"Stedman, Jr.",3980229-1
Josephine,Schacherbauer,6109212-1
Gerardino Canciller,Caballero,7899692-1
Matt,Barnum,D829197-1
Makoto,Onuki,D823862-5
Dane,Christensen,6917010-3
Glen,"Stuhlmacher, II",5331837-1
William C.,Cady,5994634-1
Wilson,Leon,D425501-1
Terry Lee,Eckard,6227366-1
Richard L.,Dupree,6722654-3
Robert W.,"Lukowski, Sr.",5942300-1
Christine,Mulrooney,5132491-1
Ronghua,Zhou,6745414-1
David,Cocke,6638282-3
Alex,Smith,9048520-2
Donald,Vitale,6767406-1
Mark R.,Weber,7448105-3
Chinglin,Pan,9302439-1
Robert,Bickmeyer,D266583-1
Donald F.,"Weaver, Jr.",5153381-3
Mark C.,Ventura,5727368-3
Atul,Arora,6178409-3
Soren,Abildgaard,7065476-3
Douglas N.,Miller,4453680-1
Sashank,Nanduri,7690942-5
Eric,Carr,5882067-2
Kendall M.,Smith,6267038-6
Nathan L.,Edwards,8418215-2
Hosein,Vakili,4332983-1
James F.,Bregi,4188210-1
Scott R.,Sanders,7204835-3
Linnea J.,Berger,5560069-1
Hanh,Nguyen,10100325-4
Stephen D.,Halbe,7267846-6
Caleb J.,Madsen,9959682-2
Samantha,Truex,9233145-2
Stephen James,Huss,8157402-1
Ginny S.,Mixon,8739312-6
Allison M.,Romano,7913901-1
Arthur J.,Wennerstrom,4049349-1
Donald W.,Moses,4390986-1
David,Mejia,8469427-1
Raul Guillermo,Camacho,8978041-2
Antonio,Lauto,6211335-3
Lisa Ann,Donnachaidh,7542559-1
Ronald D.,San Giovanni,4455631-1
David R.,Winkler,6220647-1
Bernard K.,Chiu,4921639-1
Karl Anthony,Mardian,10113303-1
Cary L.,Pint,10014123-2
Mark J.,Lamborn,9645066-4
James E.,Cantrill,5514750-1
Richard T.,Cummings,6689574-1
Jay M.,Tudor,8449701-3
Angelo,Scandaliato,9578493-3
Jack T.,Arnold,4577060-3
John M.,Kurtz,5005612-1
Arnold E.,"Westlund, Jr.",4473872-2
Frank,Friesen,9764674-1
Tinsley A.,"Galyean, III",5511153-2
Dorothy Limerick,Bailey,6124362-4
Daryl D.,Johnson,4248748-2
Jay Thomas,Gutka,9975281-3
Gordon,Chen,5958188-2
Eric,Swaidner,7147207-4
Neil E.,Antin,5427709-1
Richard,Bambara,5844009-4
Clarence A.,Leggett,4570376-1
Kenneth J.,Galipeau,5799141-1
Howard J.,Worman,6627458-1
Rachel,Maya,4823822-1
Harris C.,Brumfield,10002386-2
Mark S.,Lopp,7897040-3
Ratchaneekorn,Thamvichai,7289558-4
Steven A.,"Zelubowski, Sr.",9088398-2
Timothy,Learmonth,10012542-1
James D.,Hedspeth,6643904-1
Brian E.,Schafer,8784224-1
Hank Michael,Petrassi,10112907-6
Frank J.,"Walker, Sr.",3955648-1
Eric W.,Lorio,6250359-1
Kenneth L.,Fehlig,5067591-1
Michael L.,Hutchinson,6618389-2
Konstantin,Litvinov,8113444-1
John S.,Porter,4569967-3
Milroy,Codipilly,5833955-2
James Dirk,Iglehart,8318441-2
Louis,Bertrand,8443681-2
Ulrich R.,Bernier,6267953-1
Paul R.,Lynn,4041992-1
Michele,Mancuso,6395956-3
Dennis S.,Rushforth,7002079-3
Meredith Irwin,Flory,5992854-1
Clyde V.,Moyers,4250143-3
Lawrence H.,Monn,5712005-1
James R.,Postema,4101794-2
Frank A.,Sommerfeldt,5094346-1
Gopala Krishna,Kakivaya,7934117-1
Richard Joseph,"Zabelicky, Jr.",6873306-4
Boguslaw,Burdzinski,4074487-3
Ellis H.,Jenkins,3951353-1
Hannah,Catterall,9139550-2
James A.,Flom,8601580-2
Marco,Dal Molin,9637796-7
Vahbod,Pourahmad,8223802-6
Robert P.,Zimmerman,6827290-1
Mark R.,Holzer,6921886-1
Leonard F.,Miller,4873135-3
Jerry,Levin,6536374-2
Suzanne M.,"Michelich, III",7741736-3
John H.,"Rodgers, Jr.",5635194-2
James B.,Martinson,8308794-1
Juan Manuel,Nunez,D732304-1
Sean D.,Kerstiens,7934098-5
Thomas Patrick,Durfee,6024063-4
Arthur,Glandian,6725150-1
Robert B.,Harvey,5533303-1
Leslie Emery,Lancy,3953306-1
Danny W.,Brown,10072773-3
Joseph A.,Mas,4090131-1
Mairtin,Brady,7680719-1
Kang,Chen,10049964-4
Charles E.,Galaspie,4297617-1
Joseph D.,Fitzpatrick,4946510-2
Allen,Denison,8813198-3
Rick T.,Lasko,8128524-1
Ernest E.,Brayford,D295501-1
Joachim,Buchegger,4121595-2
Michael Carey,Goudeau,D549032-1
Melvin F.,Maringer,4299713-1
Guy E.,Vorsanger,4223820-1
David Bryan,Curtis,5778490-1
Scott W.,Ladd,9660497-1
Stephen M.,Dolle,6241660-1
Randy,Naylor,9627883-3
Richard Y.,Ryu,6617362-1
Melissa,Simek-Lemos,9920111-11
Thomas N.,Thelen,D339719-1
Sean,Taylor,D773136-2
Elena,Pigos,9987608-1
Linden M.,Boice,9386725-3
James M.,Leef,5728977-3
Darrell G.,Andrews,5558491-1
Frank,Hagen,8591150-1
Joseph G.,Montalto,4380511-2
Carlos Jorge,Monteiro,10075753-2
Edward W.,Gray,4827241-2
Earl,McCleerey,4421376-2
John Alexander,Wilson,9454943-1
Todd A.,Palmer,7244950-2
Ronald A.,Mierzwa,5780442-1
Lawrence L.,Griffith,4352348-1
John M.,Lesniewski,7728058-2
John E.,Kearney,8469711-7
Cedric,Divine,7147156-1
Mario V.,DiVasta,7331153-2
Gary Peter,Shamshoian,7815327-1
Charlie,Gutierrez,6619681-1
David J.,Lundberg,5433973-3
Buu,Diep,7378293-1
Robert J.,Castro,4450967-1
Ben H.,Ma,6109996-1
Charles E.,Carelli,5360379-1
Alan H.,Beggs,8957044-2
Kerns H.,Powers,4400719-1
Tom S.,Targos,4705837-3
Marc A.,Miller,5815206-2
Kevin Edward,McGuire,8874622-1
Susan L.,Rogers,10010426-8
Nicole Miller,Damour,8476425-6
Lawrence S.,Baum,6606731-1
Graeme Andrew,Jackson,9970527-2
Paul Gilbert,Meyer,10095631-1
Tae Youn,Kim,10114047-2
Herbert A.,Goeden,4746560-1
James M.,Bustillo,5696491-3
Sridhar V.,Iyer,5301202-2
William C.,Collins,4087374-2
Fred Thomas,Bizzarro,6320050-1
Tushar,Hingorani,10052296-6
Nadeem M.,Siddiqi,7097515-1
James Edward,DeBard,4063348-2
Richard B.,Scherrer,9356784-3
Imants A.,Stiebris,6385794-3
Matthew,Selman,6882951-4
Donald R.,Kesner,4495617-3
Hans,Jennsen,6327074-2
David C.,Garcia,5846016-2
Glen Alan,Reidhaar,7588242-1
Sandra B.,Winick,D619491-1
Mark,DeVito,9956509-1
Anthony L.,DiSalvo,3940370-1
Charles E.,Rohrer,4872397-4
Leo,Levko,5048356-1
Michael Patrick,Ryan,5135399-1
Kevin,Warren,7126059-2
Neil C.,Karolek,4460054-2
Elliot A.,Rudell,4235515-2
Neil D.,Haddock,8162082-3
Eric,Leon,5704390-1
David James,Volpe,7435503-2
Jun,Hu,7980628-1
Margaret J.,Lye,7835309-4
Brian E.,Bonn,10098465-2
Dalma Therman,Edwards,4063565-1
Kyle,Omlor,D530215-4
Katrina,Carroll,10130736-4
Megan,Meier,7745552-5
Michael W.,Haff,D375090-2
Joe A.,Thomsen,5392252-3
Kenneth E.,Madsen,7137105-1
Christian,Roux,5711334-1
Johnnie D.,"Hayes, Sr.",7381058-1
Mouhcine,Kanouni,7595011-1
Michael,Mudditt,6151581-3
Benjamin M.,Alexsandrovich,5289085-3
Vladimir,Belov,7212056-1
Dariusz,Dzik,10045032-1
Karthiek Reddy,Bokka,10014002-2
Victor W.,Bolie,4017205-1
Charles M.,Weldon,6386557-1
Walter C.,Belcher,4391551-1
Joe,Countrywood,7632572-5
John A.,Wiseman,4151788-1
Larry,Bloomquist,4738174-1
Daniel J.,Gibson,7905183-1
Robert Anthony,Wilk,10040348-2
Brian S.,Vollmer,9193454-8
Corey,Gutierrez,7569604-5
Kumar,Karthik,8531676-3
David C.,Madsen,4357343-1
Lawrence R.,Tarbox,4995064-2
Mary A.,Moore,4177266-1
Christine Mary,Palmer,7308297-5
Jason,Eastman,9925456-3
Steven,Wahnschaff,4395968-2
Ranjan,Ray,3981722-1
Bart A.,Macleod,5630069-10
John Edward,Ely,10053967-8
Pengzu,Zhou,7361789-8
Yasuhide,Kitaoka,9635770-1
Dean M.,Giolando,5431800-2
Wallace Keith,Majure,8791049-4
Shashank,Newawarker,7069392-2
Russell W.,Weber,3940872-1
Harry J.,Hettel,4063298-2
Henry,Brunner,9533236-1
James A.,Weinert,5471193-2
Asad A.,Khan,10088701-1
Jeffrey D.,Wood,8561683-1
Surfroney,Russell,D454184-1
Philip R.,Robinson,6101829-1
Paul V,Youseph,6543165-1
Tyler H.,Albee,9802844-4
Wright,Currie,D779849-2
John F.,Gardner,4503675-1
Samuel L.,Hull,5032389-3
Matthew H.,Childs,5510741-1
Jeffrey Todd,Sellinger,9990645-3
Frank William,Dean,5614653-1
Charles C.,Jablanofsky,4065662-2
William M.,Reilich,4234250-2
Kristen A.,Tsarnas,7765156-3
Gary I.,Asnis,8538071-1
Robert Alan,Krosky,8445778-4
William A.,"Gilham, Jr.",8702030-1
Tammy,Pintor,7753759-1
Allen M.,Sohlo,10087322-7
Richard Dean,Rush,8152477-4
Gail,Busch,7536827-1
Keith,Hendrickson,6308379-3
Chi,Ma,9449018-1
Tim,Paris,7962384-5
Mark A.,Harwell,6295750-1
Robert F.,"Weikel, Jr.",7481775-1
Hyatt B.,Atwood,3964576-1
Irv,Cohn,5935012-1
Amy Beth,Dounay,10077272-4
Gary V.,Werner,6740013-1
Michael L.,Simon,5743959-4
John L.,Lewis,5671635-2
Marvin E.,Whiteman,4052756-1
Emily Q.,Rosenthall,9193680-2
Thomas S.,Duppong,7669454-2
Glenn,Chenot,7556472-4
Elizabeth,Amendola,5799673-2
Craig Alan,Hegeman,5963943-3
John F.,Coombs,4122782-1
Adam,Jacobs,D579665-1
Chester S.,Czyryk,3931860-1
Peter P.,Bleznyk,6965309-1
Gene A.,Williams,5106059-3
Jeffrey Lee,McLaren,8326651-1
Steven E.,Huckaby,7393343-3
Sean,Lee,10025643-3
Sheree Lynell,Schattenmann,6399790-1
Geoffrey L.,Luzier,D614944-2
Karl,Ganske,D817894-1
Barry R.,Thompson,8561315-1
Michael J.,Schoonmaker,6554228-1
Daniel J.,Petroski,3994025-1
Young,Choon-Moon,6884804-1
Janet R.,Sterritt,4995411-2
Benjamin Ashley,Smyth,10140471-1
Gregory Steven,Lee,5849673-4
Robert C.,Fewkes,6190898-3
Danny R.,Wingo,D457499-2
Peter,Nemes,7964843-2
Edward A.,Guerrini,5238999-3
Eldon K.,Hurley,4036100-1
William A.,Trzyna,4415842-2
Morton K.,Pearson,4740124-1
Kevin,Rohling,9526153-3
Brett L.,Fells,D414068-1
Richard G.,Shoemaker,4363421-1
James R.,Kastner,10138306-1
Donald B.,Bowman,4325715-1
Jeffrey E.,Davis,5600093-2
Jerauld T.,Numata,5085077-2
Vilas,Veeraraghavan,9414114-3
James G.,Aust,D368725-1
Darren D.,Varney,8462014-2
John W.,Schaller,6919168-5
Chao-Hsin,Wu,8179937-5
Renee Solomon,Wenstrup,9033652-5
Robert B.,Agran,5059181-1
Herbie,Pfeifer,D404667-2
Walter Dennis,"Robertson, III",5699995-1
Helen E.,Gadd,4630830-1
Robert Lewis,Rohr,4019886-3
Robert P.,Gerbetz,4082381-4
Timothy B.,Dutcher,5290470-1
Iok-Hou,Pang,5681854-1
Sharat Subramaniyam,Chander,5909651-1
Shuo Wei,Chang,7826924-3
Giacomo,Digrigoli,10002354-1
Ronald S.,Pala,4834674-5
James D.,Youd,3981169-1
Ilia,Mirkin,8090703-4
Michael B.,Mascia,4905338-1
Eugene M.,Curran,7735850-1
Babak,Fayyaz-Najafi,7897122-3
John C.,Hegenauer,6197813-1
Lawrence W.,Baldwin,3942409-1
David E.,Schuyler,5832526-1
Joseph G.,"Silvia, Jr.",4905622-1
Frank S.,Chernek,5209493-1
Lingling,Fan,10103666-1
Roger W.,Budnik,4699497-3
Franklyn N.,"Linton, Jr.",5597312-3
Jonathan Paul,Simons,5650503-5
Wayne Edward,Zeller,7579483-6
Mirelsa,Fontanes-Prez,7148824-2
Earl D.,Morris,5324035-1
Joseph A.,Bartasius,4895366-1
Anhtuan T.,Ton,9390847-3
James G.,Ranweiler,4241396-5
Julia,Pavlovich,7970096-1
Jaimee R.,Compton,9133253-2
Maria Rocio,Mirto,6931293-6
Pranav,Piyush,10089479-2
Irving H.,Leopold,4127674-1
Eva M.,Maya,6498249-3
Antoinette Berrong,Hartman,6277379-3
Jerilyn H.,Schwartz,5557998-2
Ridong,Chen,5656474-3
Brian,Rose,6697079-1
Hristo V.,Papayoti,3948012-1
Lamia,Shorees,8434191-1
Prasenjit,Ghosh,10105620-2
William E.,Janoff,D331031-1
James C.,Marek,4840765-2
Kirk,Malcolmson,5116013-1
Louis John,Viltro,5547531-3
David F.,Williard,4804954-2
Ricky L.,Holm,8192523-3
Aytac,Azgin,10104633-1
Mark D.,Kelley,10024526-2
Jarle,Michaelsen,6968902-5
Gonzalo Jose,Domingo-Villegas,8431387-4
Theodore C.,Gagliardi,6021731-2
Lenet,Leski,5215287-1
Kendall Lee,Spangler,7077097-1
Miroslav,Glogolja,3931547-1
Damian Franken,Manning,10050916-1
Kenneth,Phillips,9815599-3
Brian David,Herman,8815829-6
Tianhong,Zhang,5616400-1
George,"Linicomn, Jr.",D460241-1
Kiran P.,Amancha,10111833-2
Leonard E.,Lathrop,4026122-2
Alexander,Grabovsky,7519864-2
Bruce Jencks,Edgerty,7878141-3
Gregory Alan,Nichols,7367571-1
Michelle A.,Turgeon,8726850-4
Robert D.,Waldron,D249115-1
Aaron T.,Buck,7837640-4
Brian L.,Plomondon,9201603-2
John W.,Ziech,D638598-1
Jae Hee,Lee,5826442-1
Julian R.,Lueras,6264514-1
Cyril J.,Breza,4343663-1
Patrick C.,Sanders,8328894-3
Damian,Jones,6882748-2
Michael,Sumetsky,6753118-5
Jeff E.,Morley,6797296-2
John M.,Pavkovich,4149247-1
John A.,van Aalst,10087407-2
Robert E.,Spitzer,4106730-1
Charles R.,Brewer,6208626-1
Robert Joseph,Bernier,5834571-1
James H.,Byrn,4118455-1
Robert James,Socci,3982271-2
Michael G.,Rick,6683450-1
William H.,Hopper,3981753-1
Karen,Ellmers,7814590-3
Robert D.,Connolly,5912960-2
Javier,Krysztal,10028122-1
Michael D.,Walker,4342130-3
Susan,Hendrich,9807559-3
Aaron P.,Burghard,D738208-3
Iannis,Aifantis,9101559-1
William E.,Hughes,4403567-3
Ralph E.,Shettel,3952522-1
John C.,Gaddy,7228189-1
Thomas F.,Nedbal,4854877-1
Matt S.,Leach,9217558-6
Benny W.,Sparkman,6711778-1
John S.,Fabisak,4228206-1
Thomas J.,Bardoni,4028778-1
Bernard J.,Ackland,5520026-1
Matthew M.,Zuckerman,4151080-1
Jeff J.,Warning,D363172-1
Harvey,Abramowitz,8287696-3
Thomas Heinrich,Heinz,6010505-3
Andrew Keith,Nash,9262392-1
William L.,Byers,3982238-1
Roger,Stewart,D543214-1
Chander S.,Sehgal,5163083-6
Rob,Baumert,6516905-1
Michael,Wollowitz,5091691-3
Vadim,Dyomin,6309860-2
Shuangshuang,Jiang,9501466-2
Jong-Won,Yoo,10079061-3
Antoine B.,Khawand,3973340-1
Jeff,Merwin,5892161-2
Todd,Piehler,9026652-1
Arnold H.,Maarberg,D499029-1
David Preston,Lemonds,9194175-1
Gil G.,Mor,7541182-1
Padmini,Komalavilas,7135453-2
Philip,Babij,7258999-3
Mary Ann,Schallip,D435327-1
Shashi G.,Talvalkar,4628000-1
Vicki,Frasier,8631766-1
Marina,Galata,8959351-7
Jeannie K.,Ratliff,6523041-13
Karen L.,Skiles,10119487-2
Philip F.,Dressel,5290582-1
Victoria A.,Norris,D533430-1
Alfred,Cryar,4993397-1
Russell G.,Rasmussen,4544156-1
Albert,Lu,D537044-3
Paul M.,Graczyk,6149661-1
Donald C.,Frick,4479377-2
Arne W.,Fliflet,5038077-2
Pangiotis,Blanas,6601497-5
Thomas Jay,Curtiss,9851255-4
Brent L.,Oster,10008034-5
Bernard M.,Haug,4152032-2
Donald S.,White,7310837-3
Debra,Chao,7888485-3
Bjrn,Sjdin,10019544-8
F. Scott,Murray,5332987-5
Aygul,Kostinovsky,10120092-6
Judith A.,Dube,D319526-1
Kevin Niles,Reed,8762427-5
John M.,Hauf,4308755-3
Cody,Bond,9797597-4
William,Fagan,D309967-1
Daniel M.,Herring,10097542-2
James,Smith,5052949-2
Mary K.,McCauley,5470865-1
Scott P.,Bialor,5243531-2
David C.,Kumpf,6875255-6
Warren P.,Rudolf,4392311-1
John,Schellhorn,8979871-6
Richard P.,Lewis,4803623-4
Mohammad,Alanjary,9797011-5
Vijay,Asrani,10074887-2
Chengchih,Lin,8014002-2
Frederik A.,Siemonsen,4089199-1
Alfred J.,Jesperson,5267774-4
Bernal A.,Arroyo,9497641-6
Michael J.,Simms,9146767-2
Victor,Chu,6279170-1
Dan G.,Zollinger,6527438-1
John C.,Munro,4833788-1
Mark J.,Wolski,5097410-7
Jeannine R.,Hall,7373306-5
Lex N.,Allen,5675104-4
Clyde S.,Meckstroth,5651757-1
James H.,McAlear,4103064-1
William L.,Epperson,5153938-1
Curtis,Harvey,9053202-4
David M.,Schroeder,6485265-1
Frank M.,Fritz,4538644-2
Bradley E.,Cox,5684406-3
Dennis J.,Samson,4644838-1
William L.,Crutcher,4581925-1
George A.,Powell,4128254-1
Robert L.,Taft,5944784-2
Gregory E.,Kline,7607285-3
